word,frequency,happiness_score
nato,2,4.92
historian,2,6.06
juan,2,5.08
brings,2,5.8
arrested,2,1.64
learned,2,6.92
supreme,2,6.64
charity,2,6.4
retiring,2,5.2
pork,2,4.98
iranian,2,4.22
player,2,5.94
return,2,5.2
creative,2,7.4
characters,2,5.78
took,2,4.76
brazil,2,6.1
sea,2,6.94
eastern,2,5.76
oil,2,4.88
sales,2,5.8
ticket,2,5.32
increase,2,6.56
celebrate,2,7.98
try,2,6.02
miami,2,6.18
student,2,6.58
election,2,5.18
speaker,2,5.68
sentenced,2,3.7
rick,2,5.2
scandal,2,3.18
title,2,5.6
ohio,2,5.22
missile,2,3.24
runs,2,5.62
egg,2,5.98
waiting,2,3.68
republicans,2,4.22
generation,2,5.5
european,2,5.94
fans,2,7.02
tests,2,4.28
sex,2,7.44
local,2,5.46
sad,2,2.38
men,2,5.94
brush,2,5.56
class,2,5.52
growing,2,6.52
sights,2,6.0
visual,2,5.94
picks,2,5.4
saying,2,5.6
gives,2,6.5
en,2,4.84
museums,2,6.78
schools,2,5.98
thai,2,6.22
step,2,5.32
cultural,2,6.18
chicago,2,5.84
invasion,2,3.42
crime,2,2.2
pope,2,5.6
chinese,2,5.64
ideal,2,6.98
provides,2,6.24
mystery,2,5.64
numbers,2,6.04
laws,2,5.08
minister,2,5.18
listen,2,5.94
classical,2,6.58
seeks,2,5.68
sign,2,5.66
costs,2,3.8
repeat,2,5.14
london,2,6.46
tree,2,7.12
receives,2,6.13
machine,2,5.38
protests,2,4.24
supports,2,6.22
tries,2,5.58
cemetery,2,2.94
poem,2,6.52
princeton,2,5.74
testing,2,4.9
office,2,5.12
pain,2,2.1
mix,2,5.8
half,2,4.6
expected,2,5.74
tale,2,6.24
sweet,2,7.64
inquiry,2,4.66
recommend,2,5.64
general,2,5.32
victory,2,7.98
park,2,7.08
rescue,2,6.62
credits,2,5.86
vehicles,2,6.28
live,2,6.84
outside,2,5.8
paul,2,5.44
texas,2,5.54
pay,2,5.3
death,2,1.54
democrat,2,5.18
suicide,2,1.3
systems,2,5.22
disaster,2,1.96
study,2,6.12
january,2,5.7
attention,2,5.8
whiskey,2,5.72
blame,2,2.82
casino,2,6.04
control,2,5.38
month,2,5.18
illinois,2,4.92
price,2,5.0
turn,2,5.2
ways,2,5.3
penn,2,5.42
free,2,7.96
uses,2,5.72
shot,2,2.5
rich,2,7.98
tom,2,5.42
hands,1,6.0
heroes,1,7.16
cash,1,7.42
digital,1,6.12
preparing,1,5.76
bells,1,6.5
yacht,1,6.16
styles,1,6.22
economics,1,4.76
affairs,1,4.7
fa,1,4.8
technology,1,6.74
screen,1,5.74
ease,1,6.52
premier,1,6.2
busy,1,4.58
vast,1,5.64
consumer,1,5.5
occasional,1,5.6
average,1,5.1
cooking,1,7.08
haircut,1,6.2
bob,1,5.44
appear,1,5.84
stephen,1,5.54
follow,1,5.66
quite,1,5.32
bomb,1,1.96
carol,1,5.52
variations,1,5.86
modern,1,6.48
array,1,5.55
saturday,1,7.42
performance,1,6.74
delivery,1,6.02
letter,1,5.94
anniversary,1,6.7
marks,1,5.1
speaks,1,5.68
acceptance,1,6.86
abortion,1,2.6
friendship,1,7.96
loved,1,7.96
messages,1,5.98
attempt,1,5.56
activity,1,6.32
warned,1,3.52
tennessee,1,5.82
giants,1,5.34
closely,1,5.64
social,1,6.22
worked,1,5.44
tweeted,1,5.44
overnight,1,5.58
bail,1,4.44
completely,1,6.34
mount,1,5.54
car,1,6.72
hair,1,6.04
run,1,5.48
mitchell,1,5.14
consists,1,5.58
jam,1,6.02
approved,1,7.2
hungry,1,3.38
cattle,1,6.1
feel,1,5.9
starting,1,6.5
highway,1,5.48
november,1,6.1
uncertainty,1,3.64
watched,1,5.46
shine,1,7.14
mack,1,4.9
sides,1,5.04
investing,1,6.12
conscious,1,6.14
stoned,1,4.56
dog,1,6.7
candle,1,6.71
jeep,1,5.96
regret,1,3.12
literally,1,5.32
protecting,1,6.3
description,1,5.8
competition,1,5.64
robot,1,6.12
tight,1,4.6
knife,1,4.08
contemporary,1,5.86
putting,1,5.4
depending,1,4.74
lauren,1,5.56
sister,1,6.76
toy,1,6.84
donald,1,5.48
ear,1,5.54
wrote,1,5.64
song,1,7.58
santa,1,6.8
meaning,1,6.0
roth,1,5.02
retirement,1,5.92
company,1,5.44
comic,1,7.08
reminded,1,5.6
bright,1,7.62
smiles,1,7.76
manuscript,1,5.75
grab,1,5.06
restaurant,1,7.06
launches,1,6.14
course,1,5.42
wasn,1,4.63
brutal,1,2.6
mile,1,5.04
moving,1,5.36
yankees,1,5.22
suspected,1,3.52
epic,1,6.3
lawsuits,1,3.04
odd,1,4.66
ship,1,5.96
fades,1,3.81
publishing,1,5.92
critic,1,3.36
hired,1,6.7
georgetown,1,5.36
