pub_date,headline,happs_score
2019-02-08,Australian Parliament Reports Cyberattack on Its Computer Network,5.714285714285714
2019-02-06,China Investigates Reports of H.I.V.-Tainted Blood Plasma Treatment,4.8933333333333335
2019-02-04,"Australian Banks Overcharged Clients, Even After Some Died, Report Finds",5.508571428571428
2019-02-01,Sex Crime Reports Are Up in France. Officials See a #MeToo Effect.,5.277777777777779
2019-01-31,"Afghan Government Control Over Country Falters, U.S. Report Says",5.193333333333334
2019-01-17,"North Korea Obscures Leaders’ Visits to Missile Development Sites, Report Says",5.2375
2019-12-29,Samoa Lifts State of Emergency After Deadly Measles Epidemic,4.252
2019-12-19,Malta Murder Investigation Closes In on ‘Mafia State’,4.14
2019-12-17,Why the State Dept. Has Largely Been Muted on India’s Moves Against Muslims,5.036
2019-12-04,"In Syria, Health Workers Risk Becoming ‘Enemies of the State’",5.408571428571428
2019-11-14,Experts Divided on Authenticity of Islamic State Receipts,5.180000000000001
2019-11-04,Turkey Captures Sister of Islamic State Chief Killed in Raid,5.130000000000001
2019-11-01,"White House Freezes Military Aid to Lebanon, Against Wishes of Congress, State Dept. and Pentagon",5.425454545454546
2019-10-16,"Under New Rule, Chinese Diplomats Must Notify State Dept. of Meetings in U.S.",5.293333333333333
2019-10-11,Poland’s State Media Is Government’s Biggest Booster Before Election,5.3933333333333335
2019-10-11,Iran State Media Say Oil Tanker Is Hit but Offer Conflicting Accounts on Cause,5.165
2019-10-03,Ecuador Declares State of Emergency as Striking Workers Block Roads,4.85
2019-09-26,Australia’s Most Populous State Decriminalizes Abortion,4.7
2019-09-18,A Revolution in Brittany: Mayors Defy French State to Ban Pesticides,4.994285714285714
2019-09-12,How Jewish Should the Jewish State Be? The Question Shadows an Israeli Vote,5.179999999999999
2019-08-10,"Kazakhstan Welcomes Women Back From the Islamic State, Warily",5.424
2019-08-05,White Terrorism Shows ‘Stunning’ Parallels to Islamic State’s Rise,4.973333333333334
2019-08-04,"In Hammarskjold’s Native Sweden, Hint of State Secrets Linked to His 1961 Death",5.0600000000000005
2019-06-28,French Court Clears Way to End Life Support for Man in Vegetative State,5.452727272727272
2019-06-24,"In Vietnam, U.S. Citizen Gets 12-Year Sentence for Trying to Overthrow State",5.467499999999999
2019-06-03,Royal Family Hosts Trump in U.K. State Visit,6.026666666666667
2019-06-02,Trump State Visit to U.K. Faces Turbulence Amid Brexit Chaos,5.262857142857143
2019-05-29,Anchors From Fox and Chinese State TV Hold Live Debate on Trade,5.700000000000001
2019-05-03,How Do You Save a Million People From a Cyclone? Ask a Poor State in India,5.492000000000001
2019-04-24,1969: Lebanon Declares State of Emergency After Riots,4.595999999999999
2019-04-23,"Trump’s State Visit to Britain, Long Delayed, Now Has a Date",5.5225
2019-04-18,"North Korea’s State-Run Economy Falters Under Sanctions, Testing Elite Loyalty",5.346666666666667
2019-04-11,"German State Drops Investigation Into Political Artist, but Outcry Keeps Growing",5.044444444444445
2019-04-10,"In Netanyahu’s Win, Arabs See Another Nail in the Coffin of a Palestinian State",4.998181818181818
2019-03-25,This Chinese Christian Was Charged With Trying to Subvert the State,5.338000000000001
2019-03-20,The Evolution of ISIS: From Rogue State to Stateless Ideology,5.342857142857143
2019-02-22,"Facing Protests, Sudan’s Leader Declares Yearlong State of Emergency",4.984
2019-02-18,Australia’s Prime Minister Blames ‘Sophisticated State Actor’ for Parliament Hack,5.424
2019-02-05,U.S. Military Commander Warns That Islamic State May Quickly Regroup,5.174285714285714
2019-01-31,29 Syrian Children Die During Freezing Escape From the Islamic State,4.779999999999999
2019-01-21,"Described as Defeated, Islamic State Punches Back With Guerrilla Tactics",5.277142857142857
2019-01-16,Iran State Television Says U.S. Is Holding One of Its Journalists,5.284000000000001
