word,count,happs_score,stddev
citizen,1,5.92,1.3827
gets,1,5.84,1.2993
sentence,1,5.22,1.4469
trying,2,5.78,1.1657
royal,1,5.82,1.6374
faces,1,6.2,1.4569
chaos,1,3.46,1.7867
fox,1,5.46,1.7168
hold,1,5.7,1.2164
live,1,6.84,1.5167
debate,1,4.94,1.5174
trade,1,6.18,1.0039
save,1,6.54,1.1643
people,1,6.16,1.5826
ask,1,5.2,1.8736
poor,1,2.32,1.2848
lebanon,1,4.62,1.3536
long,1,4.74,1.6637
date,1,6.32,1.6092
economy,1,4.38,1.6646
testing,1,4.9,1.4033
elite,1,5.64,2.1308
loyalty,1,7.04,1.7723
german,1,5.34,1.394
drops,1,4.96,1.5513
political,1,4.12,1.5205
keeps,1,5.88,1.3192
growing,1,6.52,0.9947
nail,1,4.7,1.4321
coffin,1,2.96,1.9894
palestinian,1,4.62,1.6022
christian,1,6.3,1.6444
charged,1,5.04,1.5903
evolution,1,6.22,1.6073
ideology,1,5.82,1.4387
facing,1,5.26,1.1031
prime,1,6.46,1.2811
commander,1,5.26,1.5093
quickly,1,5.82,1.4525
die,1,1.74,1.192
freezing,1,3.22,1.5556
escape,1,5.64,2.0777
described,1,5.58,1.1445
tactics,1,5.3,1.5811
television,1,6.66,1.5858
holding,1,5.64,1.1205
