word,count,happs_score,stddev
deaths,9,1.64,1.1386
figures,1,5.86,1.1782
early,2,5.66,1.239
memo,4,4.88,1.1542
dropped,1,3.88,1.0029
despite,7,4.48,1.3438
views,1,5.92,1.0069
enters,1,6.1,1.2817
europe,1,6.4,1.7613
civilian,3,5.64,1.5354
rose,1,7.32,1.463
radio,1,6.58,1.6047
free,4,7.96,1.261
asia,3,6.22,1.9513
delays,1,3.44,1.1457
release,2,6.1,1.233
possible,1,6.24,1.598
bias,1,4.31,1.7278
coverage,1,5.66,1.3188
killings,4,1.8,1.5386
sentences,5,5.59,1.632
agreement,1,6.32,1.2196
deal,5,6.32,1.0774
facing,3,5.26,1.1031
town,3,5.88,1.5338
concerned,1,4.22,1.6573
food,2,7.44,1.2149
hands,1,6.0,1.4846
party,10,7.58,1.4581
brazilian,2,6.06,1.4486
author,1,5.98,1.3923
light,2,6.4,1.5119
mayor,2,5.26,1.3063
plans,5,6.2,1.0102
sue,2,4.3,2.1595
value,1,6.36,1.2415
brutal,1,2.6,2.08
bird,2,6.64,1.5487
flu,2,2.4,1.1249
humans,1,6.76,1.4507
regions,1,5.54,1.1104
soviet,1,4.64,1.3365
freedom,3,7.9,1.4178
election,10,5.18,1.3506
bodies,2,4.68,1.6218
discovered,1,7.0,1.2454
rival,5,3.68,1.5043
headquarters,3,5.4,1.0102
strength,1,7.4,1.1606
seeks,2,5.68,0.9988
avoid,1,3.14,1.578
ground,2,5.26,1.2906
attacked,3,2.52,1.555
san,1,5.02,0.5887
calls,5,5.42,1.0319
data,2,5.7,1.0738
money,1,7.3,1.8434
rules,3,4.28,1.2296
muslim,3,4.64,1.6995
challenge,3,5.78,1.7177
ideology,2,5.82,1.4387
emergency,19,3.06,1.7775
explosion,1,2.94,1.596
bus,1,5.1,1.2495
social,4,6.22,1.0359
accounts,3,4.96,1.4978
john,4,5.08,1.1578
bigger,1,6.38,1.3981
push,2,4.44,1.473
council,2,4.94,1.3157
resolution,2,6.18,1.2887
combat,1,3.2,1.6782
international,2,6.56,1.2643
dealt,1,5.1,1.2495
loses,2,2.74,1.2423
crucial,1,4.52,1.5418
taiwan,7,5.36,1.2739
flag,1,6.26,1.3063
pin,1,5.1,0.8864
bosnia,2,4.8,1.7023
supporter,2,6.76,1.2216
sentenced,3,3.7,1.6568
planning,2,6.16,1.4619
meets,3,5.98,1.0971
said,5,5.38,0.901
printed,1,5.88,0.9613
park,1,7.08,1.3529
private,3,5.92,1.3529
historian,1,6.06,1.4626
begins,2,5.94,1.1502
sentence,2,5.22,1.4469
dinner,1,7.4,1.1429
flavor,1,6.88,1.2229
target,4,5.36,1.5221
border,5,4.9,1.488
barely,1,4.24,1.5722
days,2,5.76,1.2382
turn,1,5.2,1.2454
slaves,1,2.06,1.3694
asks,1,5.24,0.8704
arab,3,4.5,1.594
league,1,5.8,1.1606
help,1,6.08,1.4686
department,10,5.26,1.1031
fights,1,3.0,1.3702
gay,1,4.44,2.1774
criticism,2,3.1,1.1473
visiting,1,6.6,1.2122
considering,1,5.6,1.1249
travel,2,7.18,1.4241
millions,1,7.26,1.5361
come,3,5.82,1.0039
body,1,5.96,1.0294
newspapers,1,6.02,1.4637
covering,1,5.36,0.8751
scandal,2,3.18,1.5609
fund,3,6.04,1.1241
functioning,1,6.46,1.237
uses,1,5.72,1.1613
tool,1,5.26,1.5361
declared,2,5.28,1.3407
strategy,2,6.24,1.2382
ancient,1,5.6,1.4142
sites,1,6.0,1.1606
cartoon,1,7.2,1.4428
diplomacy,2,5.74,1.7001
board,1,4.76,1.5194
company,4,5.44,1.58
signing,1,6.04,1.4841
computer,2,7.24,1.3933
failure,1,2.06,1.2191
leaves,1,5.62,1.7944
unable,1,3.1,0.8391
aids,3,4.28,2.3477
doctors,1,5.54,1.6563
shame,1,2.68,1.3005
facebook,4,6.08,1.9361
images,3,6.34,1.2224
filthy,1,2.82,1.826
hospitals,1,3.54,1.5677
joined,2,6.3,1.0926
secretary,1,5.42,1.3107
taken,4,4.28,1.4714
ownership,1,6.38,1.4126
nicholas,1,5.54,0.9082
markets,1,6.1,1.165
recognize,1,6.08,1.4119
marie,1,5.58,1.0319
