word,count,happs_score,stddev
conflict,6,3.1,1.5286
administration,4,4.84,1.5696
congress,3,4.34,1.7567
victims,2,2.32,1.5043
virus,32,2.08,1.3377
forced,7,3.16,1.2675
african,4,5.66,1.7567
countries,8,5.68,0.9781
urged,6,4.54,1.2969
russian,94,5.52,1.7052
weapon,1,3.36,1.663
greatly,1,6.86,1.3403
treaty,5,6.22,1.3293
fewer,3,3.72,1.1256
hungry,1,3.38,1.9261
people,13,6.16,1.5826
jimmy,3,5.36,1.1205
workers,16,5.78,1.183
patients,4,3.66,1.4086
incident,2,4.02,1.3923
years,10,5.28,1.4714
links,2,5.6,1.1606
needs,7,4.98,1.5185
reforms,1,5.7,1.5286
wake,1,4.72,1.6542
officials,53,4.76,1.3637
drop,3,4.3,1.1995
preliminary,1,5.26,1.1031
flight,6,6.06,1.834
korean,10,5.48,1.4741
student,2,6.58,1.2469
brazil,10,6.1,1.359
dutch,5,5.62,1.1761
united,6,7.32,1.2027
internal,3,5.2,1.3093
man,10,5.9,1.4033
flying,1,6.24,1.6483
japanese,2,6.02,1.5713
air,10,6.8,1.6537
saddam,2,2.48,1.568
hussein,2,3.62,1.8724
aide,5,5.56,1.4165
northern,6,5.22,1.3293
fight,12,2.7,1.7409
washington,11,6.04,1.2115
post,3,5.48,1.0925
writer,1,5.96,1.5381
seen,4,5.4,1.1952
trial,6,3.96,1.6898
ran,1,5.5,1.4604
oil,21,4.88,1.6368
giant,2,5.34,1.1886
court,21,3.78,1.799
nato,14,4.92,1.7004
caps,1,5.36,1.0254
size,2,5.04,0.9681
mission,3,5.68,1.3468
starts,5,5.96,1.1945
drive,2,6.08,1.5232
scale,1,4.88,1.3037
differ,1,4.58,1.3415
german,17,5.34,1.394
ships,1,5.96,1.0093
britain,12,5.78,1.8767
ensure,1,6.12,1.3649
taking,2,5.32,1.3005
lawsuit,7,2.96,1.6157
west,9,5.68,1.3468
bank,6,5.92,1.6268
doubts,3,3.3,1.4321
video,10,6.48,1.111
final,5,5.02,1.7319
moments,1,6.1,1.1112
deep,3,5.74,1.3969
depression,1,1.98,1.5583
civilians,16,5.64,1.1386
share,1,6.78,1.4039
rumors,2,4.08,1.9455
online,4,6.72,1.2784
lowest,2,3.3,1.165
weekly,1,5.3,1.594
total,2,5.78,0.9538
weeks,4,5.06,1.0768
aid,18,6.24,1.3637
relief,5,6.86,1.6037
vast,3,5.64,1.5354
damage,6,2.58,1.4995
mexican,10,5.4,1.5253
fired,2,2.3,1.5682
lady,4,6.6,1.4569
failed,7,1.84,0.9971
address,3,5.6,1.0498
sign,6,5.66,1.2875
distress,1,2.7,1.4178
deaths,20,1.64,1.1386
figures,2,5.86,1.1782
early,9,5.66,1.239
memo,4,4.88,1.1542
dropped,1,3.88,1.0029
despite,20,4.48,1.3438
views,1,5.92,1.0069
enters,2,6.1,1.2817
europe,3,6.4,1.7613
civilian,7,5.64,1.5354
rose,1,7.32,1.463
radio,2,6.58,1.6047
free,4,7.96,1.261
asia,4,6.22,1.9513
delays,2,3.44,1.1457
release,7,6.1,1.233
possible,6,6.24,1.598
bias,1,4.31,1.7278
