headline,happs_score
"The U.S. is nearing Biden’s goal of 1.5 million vaccine doses a day, but state leaders warn of limited supply.",5.2975
"Iran Suggests It May Seek Nuclear Weapons, in New Escalation of Threats",4.962
"Olympics Chief Said Sorry for Demeaning Women. In Japan, That’s Often Enough.",5.5200000000000005
A Talking Owl and Cheery Sounds: Children’s Video Targets Dissent in Hong Kong,5.5311111111111115
"Seeking shots, ‘vaccine hunters’ cross state lines.",5.1866666666666665
"In a first, a federal judge orders Oregon state prisons to vaccinate inmates.",5.148888888888889
"Those who had Covid-19 may need only one dose of vaccine, study suggests.",5.1
"Sidelined by Cuomo, nine top New York State health officials have quit in recent months.",5.636666666666667
"‘Now is just not the time to be flying,’ Canada’s prime minister said.",5.3133333333333335
Cuomo says state officials are looking at bringing back N.Y.C. indoor dining soon at 25 percent capacity.,5.443076923076924
Groups Put French State on Legal Notice Over Police Racism,5.248888888888889
"Senegalese Student Missing in Paris Is Said to Be Safe, but Questions Abound",5.238
The State Department is warning Americans that help will be limited if they go abroad for nonessential reasons.,5.3425
"Larry King, the breezy interviewer whose CNN talk show ran for 25 years, has died after being treated for Covid.",5.117142857142857
How many lives will Covid claim? Projecting virus deaths in the U.S. has proved to be difficult.,4.92
"New York State is temporarily running out of vaccine doses, Cuomo says.",5.415
"Drug prevents virus infections in nursing homes, maker claims.",4.218333333333334
"A new California variant may be driving the virus surge in the state, a study suggests.",5.364999999999999
"Demanding federal relief, Cuomo warns that New York State is facing a possible $15 billion deficit.",5.495
Many nursing home workers in New York State have declined to be vaccinated.,5.6433333333333335
Bolsonaro Talked Vaccines Down. Now Brazil Has Too Few Doses.,5.466666666666666
‘The very health of our nation is at stake’: Biden proposes a $1.9 trillion virus package.,5.3133333333333335
"U.S. unemployment claims jump sharply, showing the pandemic’s continuing economic toll.",4.894285714285714
‘The very health of our nation is at stake’: Biden proposes a $1.9 trillion virus package.,5.3133333333333335
The state of the pandemic in America.,5.136
"Japan extends a state of emergency, and other news from around the world.",5.332727272727272
Here’s how state and local leaders reacted to the Trump administration’s shift in vaccine deployment.,5.254
The N.B.A. said it had ‘no plans to pause the season’ as virus cases increase.,4.863636363636363
"In Florida’s vaccine free-for-all, one state site is closing Monday for a football game.",5.174
Fauci suggests theaters could reopen ‘some time in the fall.’,5.676666666666667
She Said #MeToo. Now She’s Being Punished Under Defamation Law.,5.58
"A vaccine made by a Chinese company is said to be effective, and could help fill a gap left by Western countries.",5.374736842105263
Japan declares a state of emergency for the Tokyo area.,5.0600000000000005
Japan Declares State of Emergency in Tokyo Area After Days of Hesitation,5.176
California’s governor proposes state stimulus checks to augment federal aid.,5.31
Ohio State’s virus troubles prompt talk of postponing the national championship game.,5.0
"Cuomo declines to immediately expand vaccine eligibility in New York, as the surgeon general urges flexibility, and other news from around the state.",5.41625
Gov. Cuomo said he would not get vaccinated before Black and Latino New Yorkers in his age group.,5.321428571428571
Targeted Killings Are Terrorizing Afghans. And No One Is Claiming Them.,4.373333333333333
Tokyo asks for a national state of emergency.,5.380000000000001
"A Virginia state senator, Ben Chafin, has died from complications of Covid-19.",4.716666666666667
Florida health officials detect the state’s first identified coronavirus variant case.,5.966666666666666
Unemployment claims dipped but remained high during Christmas week.,5.2057142857142855
Ohio offered nursing home workers early dibs on a vaccine. Many said no.,5.806
Indian State Ruled by Modi’s Party Bans Islamic Schools,5.665714285714286
"As the U.S. vaccine drive lags, a fast-moving coronavirus variant reaches a second state.",5.442857142857143
Prisoners in Oregon can sue state officials in federal court over their handling of the pandemic.,4.886666666666667
"A Chinese coronavirus vaccine has proved effective, its maker said.",5.516666666666667
New York State’s positive test rate reaches its highest point since May: 8.3%.,5.802
"Outside a New Mexico hospital, two pizzas from a stranger said it all.",5.4079999999999995
"Central and Southern California have 0 percent I.C.U. capacity, in a state already low on hospital beds.",5.2092307692307696
"As Evidence Mounts that Navalny Was Poisoned by State, Russians Just Sigh",5.0625
A Florida scientist has sued state law enforcement in an ongoing battle over Covid-19 data.,5.065454545454545
"A Minnesota state senator, one of several who contracted the coronavirus after local Republican meetings, has died.",5.161666666666666
Penn State will delay in-person spring classes after state officials urge keeping students away.,5.4816666666666665
"To Understand Red-State America, He Urges a Look at Red-State Israel",5.345714285714286
Cuomo warns New York State that ‘a shutdown is something to worry about.’,5.0888888888888895
The first vaccine reached New York on Monday at a fraught moment in the state.,5.54
"Putin Said to Have Two Identical Offices: One in Moscow, the Other at the Beach",5.501666666666668
How many vaccine doses will your state get?,5.4799999999999995
Devin Nunes said he has tested positive for coronavirus antibodies.,5.6933333333333325
A state scientist questioned Florida’s virus data. Now her home’s been raided.,4.975
Iran Claims Arrests in Killing of Top Nuclear Scientist,4.455555555555556
The Michigan-Ohio State football game gets canceled after Michigan’s virus cases increase.,4.953333333333333
Outbreaks at nursing homes appear to be linked to Washington State wedding. Seven have died.,5.614999999999999
Restaurants in Washington State defy governor and invite guests inside.,5.8225
Revenue losses in the pandemic are forcing state and local governments to slash their budgets.,5.049090909090909
"As the U.K. claims bragging rights for the best vaccine regulators (yes, really), U.S. officials beg to differ.",5.134545454545455
"Is China Laying Claim to Kimchi, Too? Some South Koreans Think So",5.371111111111111
‘In the fight of our lives’: New Jersey’s governor spotlights his state’s return to crisis.,5.155555555555555
Ethiopia Claims Victory in Tigray Conflict After Shelling Restive Region’s Capital,5.383333333333333
"Ohio State cancels a game after a coronavirus outbreak, potentially imperiling its Big Ten chances.",5.556
"U.S. coronavirus infections shoot past 13 million, even as the Thanksgiving holiday blurs state reporting.",5.2011111111111115
"Iran’s Top Nuclear Scientist Killed in Ambush, State Media Say",4.965
An Australian state declares victory after 28 days with no new cases.,5.691111111111111
The Baltimore Ravens’ star quarterback is said to have tested positive for the virus.,5.636666666666667
"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.",5.133
"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.",5.133
Unemployment claims in the U.S. jumped last week as virus cases surged.,4.382
"There were 743,000 new state claims for unemployment insurance filed in the U.S. last week.",4.868333333333333
Some New York officials won’t enforce the state’s 10-person gathering limit.,5.613333333333333
A new outbreak in Australia prompts a six-day lockdown in one state.,5.728571428571429
Poll suggests Americans are more willing to be vaccinated.,5.7825
Missing from state plans to distribute a coronavirus vaccine: the money to do it.,5.288
"Russian and North Korean operatives are trying to hack coronavirus research firms, Microsoft said.",5.526666666666667
"Blackpink Cuddled a Baby Panda. Not Cute, the Chinese Internet Said.",5.746666666666667
"With Village Beheadings, Islamic State Intensifies Attacks in Mozambique",4.983333333333333
Maryland football halts all activities and cancels game against Ohio State after players test positive.,5.5
A ‘European Health Union’ is proposed to centralize pandemic response.,5.772
BBC Orders Inquiry Into Diana Interview After Claim Princess Was Misled,5.268
"Administration Proposes Arms Deal for U.A.E., but Some in Congress Already Object",5.16
India’s Modi Reverses His Fortunes in Crucial State,5.215
Azerbaijan Claims Capture of Key Town in Nagorno-Karabakh,5.173333333333333
Chinese State Media Reacts to Biden Victory With Cautious Optimism,5.87
"Matt Gaetz, a congressman with close ties to the White House, said he tested positive for antibodies this week.",5.477142857142858
"New Jersey’s governor warns of new restrictions for his state, where the virus is surging",5.007272727272727
A top health official in Wisconsin quits as cases soar across the state.,5.561999999999999
Birx suggests the White House has spent too much time on preventing lockdowns and not enough on controlling the virus.,5.31125
Trump suggests he may fire Fauci ‘after the election.’,5.11
"Almost Like Clockwork, Talk of a Military Coup Follows Thai Protests",5.384444444444444
Is the source of the White House outbreak really unknowable? A study suggests otherwise.,5.572727272727272
"After coughing, a State Department official met with European diplomats. Then he tested positive.",5.421818181818182
"The U.S. should strengthen the W.H.O., not quit it, experts argue.",4.873333333333334
"Roots of War: When Armenia Talked Tough, Azerbaijan Took Action",5.366666666666667
A virus cluster erupts in the Arkansas Legislature and the state surgeon general’s family.,4.872
Hong Kong Police Arrest Activist Said to Seek U.S. Asylum,4.768571428571429
Eli Lilly said its antibody treatment does not work on patients hospitalized with Covid-19.,4.891111111111111
Eli Lilly said its antibody treatment does not work on patients hospitalized with Covid-19.,4.891111111111111
Spain’s second wave of infections prompts the return to a state of emergency.,4.987
"New state unemployment claims in the U.S. fell below 800,000 last week.",4.533333333333334
"60,000 people are said to have received Chinese vaccines in clinical trials, and other news from around the world.",5.42
"1,300 Prisoners Escape From Congo Jail After an Attack Claimed by ISIS",4.193333333333333
State Dept. to Remove Sudan From List of Terrorist States,4.5600000000000005
Trump charges into Wisconsin to rally supporters amid the state’s worst outbreak to date.,4.8963636363636365
"Nearly 900,000 people in the U.S. filed new state unemployment claims last week.",4.942
Fauci takes issue with Trump’s end-of-year vaccine claims.,5.08
Cuomo warns local governments he could withhold state funds over virus restriction enforcement: ‘Hopefully that will motivate them.’,5.04
Cases in Alaska hit a seven-day state record.,5.176666666666667
Trump claims he is now immune to the coronavirus and unable to spread it. Twitter labels his post misleading.,5.125714285714286
"‘It is disappearing,’ Trump said of the virus, addressing supporters from a White House balcony.",5.502000000000001
Two more White House residence staff members are said to have previously tested positive.,5.593846153846154
"From Hiding, Kyrgyzstan’s Leader Declares State of Emergency",4.968
Jobless claims in the U.S. remain well above pre-pandemic levels.,5.56
Britain is said to be weighing the tightening of restrictions in hard-hit parts of the country.,5.075
