word,count,happs_score,stddev
nursing,8,6.12,1.4658
homes,3,6.62,1.2436
appear,4,5.84,0.8172
linked,2,5.46,1.4028
washington,7,6.04,1.2115
seven,2,5.66,1.2554
restaurants,2,6.62,1.783
governor,13,5.14,1.1608
invite,1,6.64,1.4251
guests,1,6.14,1.3852
revenue,2,6.72,1.5258
losses,2,2.46,1.4458
governments,2,4.62,1.701
fight,7,2.7,1.7409
potentially,1,5.96,1.5113
big,6,6.22,1.5022
days,3,5.76,1.2382
gathering,1,6.48,1.2329
missing,9,2.98,1.3775
plans,8,6.2,1.0102
money,4,7.3,1.8434
village,3,6.28,1.1256
attacks,15,2.46,1.4598
maryland,1,5.84,1.6704
activities,2,6.46,1.2157
players,1,5.96,1.6157
crucial,1,4.52,1.5418
restrictions,6,3.32,0.957
department,32,5.26,1.1031
european,9,5.94,1.1678
arkansas,2,5.4,1.2289
legislature,1,4.7,1.5286
surgeon,1,5.34,1.6239
wave,3,6.34,1.1537
remove,2,3.7,1.1995
list,1,5.46,0.8621
terrorist,4,1.3,0.9091
states,3,5.64,1.2578
charges,2,3.94,1.5308
rally,3,5.7,1.2495
supporters,1,6.2,1.5779
worst,2,2.1,1.3439
funds,3,6.12,1.8254
alaska,2,5.64,1.6258
hit,7,4.58,1.808
emergency,34,3.06,1.7775
dies,5,2.08,1.5628
urged,2,4.54,1.2969
jews,2,5.62,1.5372
palestinians,5,4.5,1.1995
calls,12,5.42,1.0319
lift,3,5.78,1.0359
bars,4,5.68,1.5836
rises,2,6.24,1.2545
warn,3,4.27,1.7173
queen,3,6.24,1.7907
head,7,5.96,1.0683
follow,2,5.66,1.1713
child,3,7.24,1.5592
gulf,1,5.4,1.7143
turkey,7,6.16,1.8111
announces,2,5.56,0.9723
arrest,4,2.42,1.4859
major,8,5.76,1.4223
host,2,6.06,1.3614
parliament,5,4.98,1.2856
extending,2,6.1,1.2588
army,6,4.48,2.0126
center,3,5.3,0.9949
violent,2,2.06,1.3463
opens,1,5.92,1.2752
door,1,5.38,1.2103
explosion,3,2.94,1.596
sweden,2,6.28,1.5124
tries,5,5.58,1.2631
supreme,4,6.64,1.3365
suspended,2,3.08,1.2591
ties,7,5.24,1.4507
russia,87,5.5,1.374
weeks,3,5.06,1.0768
rumors,1,4.08,1.9455
having,1,5.78,1.016
drinks,1,6.74,1.4259
bar,1,5.82,1.8035
secret,4,4.84,1.6081
company,4,5.44,1.58
sudden,1,4.3,1.3132
sells,2,5.62,1.3231
assets,1,6.66,1.6239
senate,1,4.7,1.4178
democrats,2,5.5,1.9923
block,1,4.02,1.4213
package,1,6.22,1.4748
