word,count,happs_score,stddev,2015,2016,2017,2018,2019
afghanistan,15,3.56,1.7861,3,2,4,,2
legacy,1,5.9,1.6067,1,,,,
meet,17,6.38,1.2599,4,1,,,
prime,7,6.46,1.2811,1,,,2,1
advance,3,6.58,1.3262,1,,,,
americans,12,6.5,1.6933,2,,1,1,
leader,34,6.38,1.3384,5,2,3,3,2
head,9,5.96,1.0683,1,,,1,
economy,6,4.38,1.6646,1,,,1,1
disaster,2,1.96,1.428,1,1,,,
response,6,5.68,1.2688,1,,1,,1
scientists,4,6.34,1.4654,1,,,,
religious,3,5.46,2.0123,1,1,,,1
leaders,32,5.88,1.3192,4,4,1,4,1
climate,13,5.8,1.4286,4,3,,1,1
change,6,5.56,1.3426,3,1,,,1
missing,14,2.98,1.3775,3,,,,2
journalist,20,5.54,1.3584,5,,1,3,1
nations,9,6.0,1.5518,3,4,,,
flies,1,3.6,1.6782,1,,,,
arabia,3,5.4,1.6413,1,1,,1,
diplomatic,3,5.82,1.6374,1,,1,,
members,3,5.66,1.2224,1,,1,1,
trade,10,6.18,1.0039,2,2,3,,1
amid,46,5.08,1.14,2,2,1,5,3
terror,4,1.76,1.0012,2,1,1,,
alert,2,5.28,1.8075,1,,1,,
murder,2,1.48,1.015,1,,,,1
rate,6,5.34,1.2224,1,,,1,
year,3,5.38,1.3536,1,,,1,
report,469,4.76,1.3334,78,63,35,25,32
says,227,5.28,1.1959,29,27,25,20,14
powerful,3,7.08,1.5365,1,,,,
rebel,2,4.38,1.6022,1,,,1,
reported,142,5.12,1.2558,29,23,5,10,9
wants,4,5.38,1.3231,1,,1,,
immediately,1,5.66,1.1359,1,,,,
hits,4,4.98,2.1899,2,,,1,
southern,8,5.64,1.6258,3,,,,
sending,2,5.8,0.9258,1,,,,
handling,5,5.28,1.0887,1,,,,
child,8,7.24,1.5592,3,,1,,1
allegations,2,3.84,1.4479,1,1,,,
guide,2,6.1,1.165,1,,,1,
soldiers,9,5.38,1.6399,3,2,,,
suspect,5,3.14,1.3095,2,2,,1,
spoke,1,5.8,0.9035,1,,,,
say,33,5.54,0.9941,9,2,,,5
battle,15,2.98,1.7319,4,1,,1,
indians,1,6.3,1.6933,1,,,,
spread,11,5.48,1.1292,1,1,,1,1
businessman,2,5.42,1.3864,1,1,,,
dies,8,2.08,1.5628,2,,,1,
health,21,7.22,1.2501,6,,,,1
media,81,5.62,1.8058,3,6,4,1,3
abroad,5,6.96,1.2282,1,1,,,
reporting,42,5.12,1.1718,5,5,2,1,2
california,7,6.08,1.5097,1,,,,
shooting,7,2.52,1.7407,1,,1,,
status,4,5.62,1.1761,1,2,,,
unity,3,6.92,1.7478,1,,,,
economic,6,5.36,1.6874,1,,,,1
adds,4,5.5,0.953,2,,,,
commander,3,5.26,1.5093,1,,1,,1
strike,19,3.96,1.3547,3,1,,,1
kill,8,1.56,1.0529,2,,,,
prominent,4,6.26,1.1031,1,,,,1
iranian,17,4.22,1.148,4,,,,
mass,4,5.44,1.1095,1,,,,
grave,3,2.56,1.8534,1,,,,
army,10,4.48,2.0126,3,,1,,
lawyers,3,4.26,1.8715,1,,,,
face,5,6.12,1.1718,1,1,,,1
burns,1,2.78,1.4469,1,,,,
coal,4,4.96,1.7138,1,2,1,,
delayed,4,3.24,1.1877,1,,,,1
summer,4,6.4,2.3905,1,1,,,
turkish,8,5.56,1.2149,3,1,,1,
journalists,11,5.2,1.5119,2,2,1,1,2
offices,2,5.0,1.4428,1,,,,
aim,3,5.86,1.1068,1,,1,,
meat,1,6.2,2.1381,1,,,,
industry,3,5.38,1.3076,1,1,,,
cancer,3,1.54,1.073,1,1,,,
