word,count,happs_score,stddev,2020,2021,2022,2023,2024,2025
response,6,5.68,1.2688,,2,,,1,
scientists,4,6.34,1.4654,1,1,,,,1
religious,3,5.46,2.0123,,,,,,
leaders,32,5.88,1.3192,2,2,2,4,4,4
climate,13,5.8,1.4286,,2,1,1,,
change,6,5.56,1.3426,,,,1,,
missing,14,2.98,1.3775,1,1,5,2,,
journalist,20,5.54,1.3584,2,2,2,3,1,
nations,9,6.0,1.5518,,,,1,,1
flies,1,3.6,1.6782,,,,,,
arabia,3,5.4,1.6413,,,,,,
diplomatic,3,5.82,1.6374,,,,1,,
members,3,5.66,1.2224,,,,,,
trade,10,6.18,1.0039,,,,1,1,
amid,46,5.08,1.14,7,3,7,9,5,2
terror,4,1.76,1.0012,,,,,,
alert,2,5.28,1.8075,,,,,,
murder,2,1.48,1.015,,,,,,
rate,6,5.34,1.2224,3,1,,,,
year,3,5.38,1.3536,,1,,,,
report,469,4.76,1.3334,43,41,53,36,37,26
says,227,5.28,1.1959,16,15,22,17,24,18
powerful,3,7.08,1.5365,1,,,,,1
rebel,2,4.38,1.6022,,,,,,
reported,142,5.12,1.2558,15,12,9,16,9,5
wants,4,5.38,1.3231,,1,,1,,
immediately,1,5.66,1.1359,,,,,,
hits,4,4.98,2.1899,,,1,,,
southern,8,5.64,1.6258,1,,1,2,1,
sending,2,5.8,0.9258,,,1,,,
handling,5,5.28,1.0887,1,3,,,,
child,8,7.24,1.5592,1,,2,,,
allegations,2,3.84,1.4479,,,,,,
guide,2,6.1,1.165,,,,,,
soldiers,9,5.38,1.6399,,,1,,3,
suspect,5,3.14,1.3095,,,,,,
spoke,1,5.8,0.9035,,,,,,
say,33,5.54,0.9941,4,1,3,5,,4
battle,15,2.98,1.7319,1,2,3,3,,
indians,1,6.3,1.6933,,,,,,
spread,11,5.48,1.1292,2,,4,,1,
businessman,2,5.42,1.3864,,,,,,
dies,8,2.08,1.5628,1,,2,1,1,
health,21,7.22,1.2501,3,6,1,1,3,
media,81,5.62,1.8058,5,2,13,20,19,5
abroad,5,6.96,1.2282,1,1,1,,,
reporting,42,5.12,1.1718,8,2,4,4,2,7
california,7,6.08,1.5097,4,2,,,,
shooting,7,2.52,1.7407,1,,2,,,2
status,4,5.62,1.1761,,,1,,,
unity,3,6.92,1.7478,1,,1,,,
economic,6,5.36,1.6874,1,1,1,1,,
adds,4,5.5,0.953,,,1,,1,
commander,3,5.26,1.5093,,,,,,
strike,19,3.96,1.3547,,1,3,4,4,2
kill,8,1.56,1.0529,,3,,1,2,
prominent,4,6.26,1.1031,,,,2,,
iranian,17,4.22,1.148,1,,,3,7,2
mass,4,5.44,1.1095,,3,,,,
grave,3,2.56,1.8534,,1,1,,,
army,10,4.48,2.0126,1,1,2,1,,1
lawyers,3,4.26,1.8715,,,1,,,1
face,5,6.12,1.1718,,,,1,1,
burns,1,2.78,1.4469,,,,,,
coal,4,4.96,1.7138,,,,,,
delayed,4,3.24,1.1877,,,1,,1,
summer,4,6.4,2.3905,1,,,,1,
turkish,8,5.56,1.2149,,,1,1,,1
journalists,11,5.2,1.5119,2,,,,,1
offices,2,5.0,1.4428,,,,,1,
aim,3,5.86,1.1068,,1,,,,
meat,1,6.2,2.1381,,,,,,
industry,3,5.38,1.3076,,1,,,,
cancer,3,1.54,1.073,,,,,,1
risks,2,3.78,1.7646,,,,,,1
billion,4,7.56,1.6679,,2,,,,
protests,16,4.24,1.6358,3,1,4,1,1,
violence,19,1.86,1.05,,1,3,,6,3
jason,2,5.12,1.3192,,,,,,
prisoner,5,2.86,1.8518,,,2,1,,
exchange,2,5.68,1.1683,,,,,,
cases,51,4.82,0.919,19,12,8,1,,
past,7,4.62,1.6022,3,2,,,,
agency,15,5.26,0.9216,,,4,1,,1
press,6,5.36,1.2249,1,,,,,
far,4,4.38,1.817,1,,,2,,
homes,4,6.62,1.2436,1,1,,,1,
plan,9,6.14,1.2779,1,,,1,1,2
called,8,5.6,1.1066,,2,1,,,
donations,1,6.56,1.3118,,,,,,
refugees,4,3.06,1.6587,1,,,,,
american,10,6.74,1.5228,,,2,3,,
finds,50,5.94,1.2521,1,5,4,4,5,2
women,15,7.12,1.4658,,3,,,2,
hope,5,7.38,1.3076,,1,1,,,1
students,10,6.28,1.8299,1,3,3,,,
mexico,11,5.84,1.7186,,1,2,,,1
force,3,4.0,1.6903,,,1,1,,
toll,5,4.06,1.0956,,1,,,1,
banned,6,2.88,1.2879,,1,1,2,1,
used,13,4.6,1.4846,1,1,,2,2,
dead,22,2.0,1.3248,3,4,1,4,,2
strikes,18,4.02,1.3626,,,3,4,3,1
flow,2,5.44,1.5928,,,,,,
foreign,16,5.68,1.6956,,,2,4,4,1
weapons,9,2.4,1.6903,,,1,4,2,
using,5,5.0,1.0498,,1,1,,,
poison,4,1.94,1.1502,1,,,,,
gas,6,4.76,1.6483,,,,3,1,
wall,1,4.98,0.9581,,,,,,
street,7,5.44,0.8369,,,5,,,
journal,1,5.7,1.3132,,,,,,
reporter,2,5.16,1.3456,,,,1,,
political,7,4.12,1.5205,,1,,1,1,1
connections,1,6.31,1.2111,,,,,,
jewish,6,5.72,1.0506,,,2,,,
paper,2,5.8,1.1952,,,,,,
sees,6,5.76,1.4078,,1,,2,2,
plot,7,5.26,1.3822,,2,,1,1,
destroy,3,2.52,1.8097,1,,1,,,
israel,56,4.78,1.7296,2,2,1,6,24,9
fall,4,4.04,1.9687,,,1,,,
voice,6,5.76,1.0606,,,,,,
experimental,1,5.84,1.4479,,,,,,
tested,4,5.16,1.1132,2,,,1,,
shows,15,6.08,1.0467,1,1,4,,,
led,5,5.48,1.1292,,,1,,2,
charges,8,3.94,1.5308,1,,,1,,
human,10,6.26,1.6389,1,1,,2,1,
crimes,13,2.14,1.3704,1,1,1,,2,
ahead,8,6.08,1.3679,1,,1,2,,
rome,2,6.98,1.4213,,,,,,
factory,1,5.08,1.4961,,,,,,
global,10,6.0,1.4846,1,,2,2,1,1
poverty,1,1.98,1.1156,,,,,,
making,1,6.24,1.1877,,,,,,
big,11,6.22,1.5022,1,1,1,3,,
pilot,2,6.0,1.069,,,,,,
acknowledged,1,6.1,1.4321,,,,,,
cutting,1,4.08,1.3974,,,,,,
wrong,1,3.14,0.9691,,,,,,
crash,11,2.6,1.3702,1,,,,1,4
hong,8,4.86,0.9691,3,,1,,,
kong,8,5.44,1.1808,3,,1,,,
democracy,2,6.36,1.7233,1,,,,,
rough,1,3.54,1.4458,,,,,,
bad,5,2.64,1.4675,,,2,,1,
annual,4,5.28,1.0506,,,,,,
ethnic,3,5.84,1.3303,,1,,1,,
